0, eth_getLogs, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

1, eth_getCode, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

2, eth_getStorageAt, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

3, eth_getBlockTransactionCountByNumber, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

4, eth_getBalance, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

5, eth_getUncleByBlockNumberAndIndex, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

6, eth_getUncleByBlockHashAndIndex, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

7, eth_getBlockByHash, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

8, eth_getUncleCountByBlockHash, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

9, eth_getUncleCountByBlockNumber, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

10, eth_getTransactionCount, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

11, eth_getBalance, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

12, eth_getUncleByBlockNumberAndIndex, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

13, eth_getTransactionReceipt, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

14, eth_gasPrice, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

15, eth_getTransactionCount, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

16, eth_getBlockByNumber, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

17, eth_getLogs, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

18, eth_getBlockTransactionCountByNumber, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

19, eth_getBlockByHash, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

20, eth_getTransactionReceipt, error: Post "http://172.17.0.1:8080": dial tcp 172.17.0.1:8080: connect: connection refused

